subject_id,sex,treatment_arm,mass_pre_g,mass_post_g,metabolic_rate_post
V001,M,Control,29.6,30.9,14.15
V002,M,Control,24.8,24.3,12.56
V003,M,Control,28.4,29,13.82
V004,M,Control,27.7,27.1,12.8
V005,M,Control,26,27.9,13.7
V006,M,Control,20.5,21.3,12.41
V007,M,Control,25.8,25.7,12.87
V008,M,Control,24.9,25.7,13.32
V009,M,Control,28.3,27.6,12.99
V010,M,Control,26.6,28,13.05
V011,M,Control,26.8,26.1,12.91
V012,M,Control,25.8,24.8,12.68
V013,F,Control,27.3,27.5,12.57
V014,F,Control,27.3,28.2,12.66
V015,F,Control,20.4,20.6,11.25
V016,F,Control,32,31.6,13.62
V017,F,Control,29.8,30.9,12.8
V018,F,Control,28.7,30.8,12.82
V019,F,Control,25.6,24.2,11.78
V020,F,Control,30.1,31.5,13.89
V021,F,Control,27,26.8,12.74
V022,F,Control,27.5,28.5,13.02
V023,F,Control,23.8,22.5,11.09
V024,F,Control,32.4,32.4,13.21
V025,M,Low_dose,28.1,28.9,14.6
V026,M,Low_dose,33.7,34.9,15.59
V027,M,Low_dose,33.2,34.3,14.14
V028,M,Low_dose,28.2,29,13.22
V029,M,Low_dose,29.9,32.3,14.1
V030,M,Low_dose,33.2,34.2,14.38
V031,M,Low_dose,26.4,28,14.29
V032,M,Low_dose,28.5,30.1,14.5
V033,M,Low_dose,27.2,26.8,14.53
V034,M,Low_dose,29,30.8,14.5
V035,M,Low_dose,28.5,31.5,14.39
V036,M,Low_dose,31.5,33,15.4
V037,F,Low_dose,29.8,30.5,14.19
V038,F,Low_dose,25.3,28.1,13.8
V039,F,Low_dose,29.7,31.5,14.45
V040,F,Low_dose,25.5,28,13.41
V041,F,Low_dose,24.5,26.2,13.38
V042,F,Low_dose,30.3,32.4,14.59
V043,F,Low_dose,24.4,27.3,12.61
V044,F,Low_dose,28.9,31.1,13.97
V045,F,Low_dose,25.5,27.4,NA
V046,F,Low_dose,32.3,33.1,13.9
V047,F,Low_dose,30.1,32.2,13.82
V048,F,Low_dose,26.8,27.9,13.63
V049,M,High_dose,30.4,33.5,15.62
V050,M,High_dose,29.3,31.3,14.85
V051,M,High_dose,24.5,27.7,14.99
V052,M,High_dose,27.4,32.6,15.68
V053,M,High_dose,25.2,29.5,15.21
V054,M,High_dose,29.3,31.6,15.48
V055,M,High_dose,26.1,29.7,15.54
V056,M,High_dose,27.3,30.2,14.86
V057,M,High_dose,24.3,27.3,14.46
V058,M,High_dose,25.1,29.3,15.29
V059,M,High_dose,28.4,32.3,15.69
V060,M,High_dose,25,29.3,15.44
V061,F,High_dose,27.6,31.3,14.79
V062,F,High_dose,28.5,30.7,14.95
V063,F,High_dose,27.4,30,15.05
V064,F,High_dose,27.1,28.8,14.14
V065,F,High_dose,22.8,26.7,14.81
V066,F,High_dose,27.2,32,14.61
V067,F,High_dose,22.6,23.9,13.03
V068,F,High_dose,31.5,34.8,15.27
V069,F,High_dose,25,28.8,14.5
V070,F,High_dose,28.4,31.3,14.52
V071,F,High_dose,29.6,31.8,14.46
V072,F,High_dose,28,30,14.33
